[14/01/2015 16:41:33] /n account manager
[14/01/2015 16:47:28] /t
[15/01/2015 10:11:15] /newtype
[15/01/2015 10:16:07] /newtype
[15/01/2015 10:35:51] /kick sorcerer 18
[15/01/2015 10:36:27] /kick druid 07
[15/01/2015 10:38:10] /reload creatureevents
[15/01/2015 10:38:14] /kick all
[15/01/2015 10:38:26] /kick druid 07
[15/01/2015 10:38:32] /kick knight 10
[15/01/2015 10:38:37] /kick sorcerer 19
[15/01/2015 10:45:26] /i sprite wand
[15/01/2015 10:45:29] /m monk
[16/01/2015 04:35:24] /addskill Yamahation, magic
[16/01/2015 04:35:41] /addskill Yamahation, magic
[16/01/2015 04:35:42] /addskill Yamahation, magic
[16/01/2015 04:35:42] /addskill Yamahation, magic
[16/01/2015 04:35:42] /addskill Yamahation, magic
[16/01/2015 04:35:42] /addskill Yamahation, magic
[16/01/2015 04:35:43] /addskill Yamahation, magic
[16/01/2015 04:35:43] /addskill Yamahation, magic
[16/01/2015 04:35:43] /addskill Yamahation, magic
[16/01/2015 04:35:43] /addskill Yamahation, magic
[16/01/2015 04:35:43] /addskill Yamahation, magic
[16/01/2015 04:35:43] /addskill Yamahation, magic
[16/01/2015 04:35:43] /addskill Yamahation, magic
[16/01/2015 04:35:44] /addskill Yamahation, magic
[16/01/2015 04:35:44] /addskill Yamahation, magic
[16/01/2015 04:35:44] /addskill Yamahation, magic
[16/01/2015 04:35:44] /addskill Yamahation, magic
[16/01/2015 04:36:02] /c sorcerer 19
[16/01/2015 04:36:07] /addskill Yamahation, magic
[16/01/2015 04:36:08] /addskill Yamahation, magic
[16/01/2015 04:36:08] /addskill Yamahation, magic
[16/01/2015 04:36:08] /addskill Yamahation, magic
[16/01/2015 04:36:08] /addskill Yamahation, magic
[16/01/2015 04:36:08] /addskill Yamahation, magic
[16/01/2015 04:36:08] /addskill Yamahation, magic
[16/01/2015 04:36:31] /c sorcerer 19
[16/01/2015 04:37:01] /c sorcerer 01
[16/01/2015 04:37:37] /c sorcerer 01
[16/01/2015 04:38:41] /n burt buyer
[16/01/2015 04:38:44] /n burt buy'er
[16/01/2015 04:39:16] /goto 1006,1044,11
[16/01/2015 04:39:20] /c sorcerer 01
[16/01/2015 04:39:46] /a 5
[16/01/2015 04:39:47] /a 5
[16/01/2015 04:39:47] /a 5
[16/01/2015 04:39:49] /a 5
[16/01/2015 04:39:53] /a 2
[16/01/2015 04:39:57] /c sorcerer 01
[16/01/2015 04:40:00] /c sorcerer 01
[16/01/2015 04:40:34] /a 2
[16/01/2015 04:40:41] /c sorcerer 01
[16/01/2015 04:41:24] /a 20
[16/01/2015 04:41:28] /a 20
[16/01/2015 04:41:29] /a 20
[16/01/2015 04:41:32] /a 7
[16/01/2015 04:41:35] /a 2
[16/01/2015 04:41:39] /c sorcerer 01
[16/01/2015 04:42:54] /a 2
[16/01/2015 04:43:02] /i brown mushroom
[16/01/2015 04:43:20] /a 2
[16/01/2015 04:43:23] /c sorcerer 01
[16/01/2015 04:45:32] /goto 1044,1050,10
[16/01/2015 04:45:37] /c sorcerer 01
[16/01/2015 04:45:53] /a 5
[16/01/2015 04:45:57] /c sorcerer 01
[16/01/2015 09:49:12] /goto sorcerer 01
[16/01/2015 10:00:01] /reload globalevents
[16/01/2015 10:00:30] /t
[16/01/2015 10:13:05] /kick sorcerer 01
[16/01/2015 10:13:57] /reload vocations
[16/01/2015 10:14:33] /reload vocations
[16/01/2015 10:21:59] /reload spells
[16/01/2015 10:25:01] /reload spells
[16/01/2015 10:25:38] /kick paladin 09
[16/01/2015 10:33:16] /reload globalevents
[16/01/2015 10:49:04] /goto sorcerer 01
[16/01/2015 10:50:36] /reload config
[16/01/2015 10:53:36] /addskill Sorcerer 01, level, 20
[16/01/2015 10:55:33] /addskill Sorcerer 01, level, 20
[16/01/2015 10:57:50] /reload creatureevents
[16/01/2015 11:02:51] /reload config
[16/01/2015 11:03:41] /addskill Sorcerer 01, level, 20
[16/01/2015 11:05:35] /addskill Sorcerer 01, level, 20
[16/01/2015 11:07:42] /addskill Sorcerer 01, level, 20
[16/01/2015 11:16:58] /addskill Sorcerer 01, level, 20
[16/01/2015 11:27:16] /addskill Sorcerer 01, level, 20
[16/01/2015 11:33:25] /addskill sorcerer 01, level, 20
[16/01/2015 11:34:09] /kick sorcerer 01
[16/01/2015 11:44:13] /addskill sorcerer 01, level, 29
[16/01/2015 11:44:55] /addskill Sorcerer 02, level, 20
[16/01/2015 11:46:47] /reload creatureevents
[16/01/2015 11:47:37] /kick sorcerer 01
[16/01/2015 11:48:29] /reload creatureevents
[16/01/2015 11:48:36] /kick sorcerer 01
[16/01/2015 11:49:13] /addskill Sorcerer 01, level 2
[16/01/2015 11:49:18] /addskill Sorcerer 01, level 2
[16/01/2015 11:49:21] /addskill Sorcerer 01, level 2
[16/01/2015 11:49:45] /kick sorcerer 01
[16/01/2015 11:51:02] /reload creatureevents
[16/01/2015 11:51:05] /kick sorcerer 01
[16/01/2015 11:56:34] /kick sorcerer 01
[16/01/2015 11:56:50] /reload creatureevents
[16/01/2015 11:56:58] /kick sorcerer 01
[16/01/2015 13:26:32] /reload globalevents
[16/01/2015 13:34:00] /reload spells
[16/01/2015 13:35:04] /m rat
[16/01/2015 13:36:37] /reload spells
[16/01/2015 14:23:08] /reload creatureevents
[16/01/2015 14:23:17] /addskill Druid 02, level, 2
[16/01/2015 14:24:07] /addskill Druid 02, level, 2
[16/01/2015 14:24:08] /addskill Druid 02, level, 2
[16/01/2015 14:26:48] /reload creatureevents
[16/01/2015 14:26:59] /addskill Druid 01, level, 100
[16/01/2015 14:27:17] /kick druid 01
[16/01/2015 14:27:26] /addskill Druid 01, level, 100
[16/01/2015 14:28:28] /addskill Druid 01, level, 1
[16/01/2015 14:28:40] /addskill Druid 01, level, 1
[16/01/2015 14:29:45] /reload creatureevents
[16/01/2015 14:29:58] /addskill Druid 01, level, 1
[16/01/2015 14:30:31] /reload creatureevents
[16/01/2015 14:30:32] /addskill Druid 01, level, 1
[16/01/2015 14:30:36] /addskill Druid 01, level, 1
[16/01/2015 14:30:40] /addskill Druid 01, level, 1
[16/01/2015 14:30:49] /addskill Druid 01, level, 1
[16/01/2015 14:30:57] /addskill Druid 01, level, 1
[16/01/2015 14:33:44] /reload creatureevents
[16/01/2015 14:33:49] /addskill Druid 01, level, 1
[16/01/2015 14:33:53] /addskill Druid 01, level, 1
[16/01/2015 14:33:59] /addskill Druid 01, level, 1
[16/01/2015 14:34:04] /addskill Druid 01, level, 2
[16/01/2015 14:34:38] /reload creatureevents
[16/01/2015 14:34:40] /addskill Druid 01, level, 2
[16/01/2015 14:34:41] /addskill Druid 01, level, 2
[16/01/2015 14:34:55] /addskill Druid 01, level, 2
[16/01/2015 14:34:55] /addskill Druid 01, level, 2
[16/01/2015 14:34:59] /addskill Druid 01, level, 2
[16/01/2015 14:35:49] /reload creatureevents
[16/01/2015 14:35:53] /addskill Druid 01, level, 2
[16/01/2015 14:35:56] /addskill Druid 01, level, 2
[16/01/2015 14:36:12] /addskill Druid 01, level, 2
[16/01/2015 14:36:12] /addskill Druid 01, level, 2
[16/01/2015 14:36:17] /addskill Druid 01, level, 2
[16/01/2015 14:36:27] /addskill Druid 01, level, 2
[16/01/2015 14:36:30] /addskill Druid 01, level, 1
[16/01/2015 14:36:36] /addskill Druid 01, level, 1
[16/01/2015 14:37:15] /reload creatureevents
[16/01/2015 14:37:21] /addskill Druid 01, level, 2
[16/01/2015 14:37:21] /addskill Druid 01, level, 2
[16/01/2015 14:37:27] /addskill Druid 01, level, 1
[16/01/2015 14:39:20] /reload creatureevents
[16/01/2015 14:39:23] /addskill Druid 01, level, 2
[16/01/2015 14:39:24] /addskill Druid 01, level, 2
[16/01/2015 14:39:32] /addskill Druid 01, level, 4
[16/01/2015 23:55:08] /i sprite wand
[16/01/2015 23:55:14] /i soft boots
[16/01/2015 23:55:19] /i red robe
[16/01/2015 23:55:24] /i winged tiara
[17/01/2015 00:06:56] /c druid 01, level, 100
[17/01/2015 00:08:24] /addskill druid 01, level, 100
[17/01/2015 00:09:36] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:37] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:37] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:37] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:38] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:38] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:38] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:39] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:39] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:39] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:40] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:40] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:40] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:41] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:41] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:41] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:42] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:42] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:43] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:43] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:43] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:44] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:44] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:44] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:45] /addskill sorcerer 01, magic, 100
[17/01/2015 00:09:46] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:09:47] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:09:47] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:09:47] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:33] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:34] /addskill sorcerer 01, magic, 1000
[17/01/2015 00:10:35] /addskill sorcerer 01, magic, 1000
